Text,string_City,score_Count People Found Review Helpful,date_Date Created,score_Overall Rating,string_Place Location,string_State,summary
"I recently visited Mejuri and had a great experience! The store has a wide selection of beautiful pieces. The sales associates were incredibly friendly and helpful, offering great advice and making sure I felt comfortable throughout my visit and with my purchases.What really stood out was the piercing studio experience with Dawn (their in house piecer). She was not only knowledgeable but also professional and patient. Dawn gave me personalized ear styling tips, helping me select the perfect placement and jewelry that would complement my other piercings. The piercing studio is very clean and Dawn took great care in ensuring everything was sterile throughout the entire process. She used all the necessary precautions and followed a strict protocol to maintain a clean and safe environment, which made me feel even more confident in her expertise.Overall, I highly recommend Mejuri for both their beautiful jewelry and exceptional piercing experience. Its clear that they take great care in providing a top-notch customer experience! Will be back!",Chestnut Hill,0.0,2025-02-07,5,"27 Boylston St, Chestnut Hill, MA",MA,"

Negative Issue: None
Positive Experience: The reviewer had a great experience at Mejuri, with a wide selection of beautiful pieces and a top-notch piercing studio experience.
Staff Behavior: The staff, specifically Dawn, were incredibly friendly, helpful, and knowledgeable, providing personalized advice and ensuring a clean and safe environment.
Product/Service Feedback: The reviewer highly recommends Mejuri for their beautiful jewelry and exceptional piercing experience.
Suggestions for Improvement: None"
I originally bought the wrong size chain. I went to Mejuri Chestnut Hill today and the staff was incredibly helpful. Great quality jewelry with a good mens line and exceptional customer service. Highly recommend.,Chestnut Hill,0.0,2025-02-09,5,"27 Boylston St, Chestnut Hill, MA",MA,"

Negative Issue: None
Positive Experience: The customer had a positive experience at Mejuri Chestnut Hill, specifically mentioning the helpful staff and high quality jewelry.
Staff Behavior: The staff at Mejuri Chestnut Hill were described as incredibly helpful and provided exceptional customer service.
Product/Service Feedback: The customer was satisfied with the quality of the jewelry and mentioned that there was a good mens line.
Suggestions for Improvement: None"
"I went to Mejuri chestnut hill today and got my ear pierced by Dawn!! Dawn was amazing and walked me through the whole process so I felt comfortable the whole time. The piercing looks amazing and I am so happy with it. If you ever need to get your ears/ear pierced, I highly recommend Dawn at Mejuri chestnut hill",Chestnut Hill,0.0,2025-02-09,5,"27 Boylston St, Chestnut Hill, MA",MA,".

Negative Issue: None
Positive Experience: The customer had a positive experience getting their ear pierced at Mejuri chestnut hill.
Staff Behavior: The customer had a positive interaction with Dawn, who was helpful and knowledgeable in walking them through the piercing process.
Product/Service Feedback: The customer was happy with the end result of their piercing and would recommend Dawn for anyone looking to get their ears pierced.
Suggestions for Improvement: None"
"Beware, this mostly online retailer has an F rating from the Better Business Bureau. I purchased a pair of their earrings that I later wished I had returned as they were far to too heavy to be comfortable to wear. I tried to post an honest review on their site which strangely never appeared after multiple attempts, making me doubt the validity of their customer product reviews. If you purchase any of their products, I would first visit the store and view in person, rather than going by the reviews. I would also  be sure to save all of the packaging materials in case you are not completely satisfied with the product (which may be likely). Mejuri has not responded on why the website did not accept my review, but did tell me they pass along my product feedback.",Boston,0.0,2025-01-10,1,"126 Newbury St, Boston, MA",MA,"

Negative Issue: The reviewer had a negative experience with a pair of earrings being too heavy and was unable to post an honest review on the retailer's website.

Positive Experience: None mentioned.

Staff Behavior: The reviewer did not mention any interactions with staff.

Product/Service Feedback: The earrings purchased were too heavy and the reviewer suggests viewing products in person before purchasing. They also suggest saving packaging materials in case of dissatisfaction.

Suggestions for Improvement: The reviewer suggests improving the website's review system and potentially addressing the issue of heavy earrings."
We had a lovely experience here at Mejuri on Newbury. The staff were warm and welcoming and helped me pick out a few new earrings to add to my collection. They have quality pieces that are timeless and affordable. We would definitely recommend this location!,Boston,0.0,2024-12-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: Overall, the reviewer had a lovely experience at Mejuri on Newbury. They appreciated the warm and welcoming staff, as well as the quality and affordability of the pieces.
Staff Behavior: The staff at Mejuri were described as warm and welcoming, and they were helpful in assisting the reviewer in picking out new earrings.
Product/Service Feedback: The reviewer was impressed with the quality and timelessness of the pieces at Mejuri.
Suggestions for Improvement: None."
"I came in to buy some hoops and the person who helped me made me feel very unwelcome. She didnt greet me at all and whenever I asked a question, gave me very short answers which made me feel very rushed. She seemed annoyed the entire time I was there. At the end of the purchase, she walked away without saying anything and went behind the counter so I awkwardly waited where I was until my earrings were ready. Everyone else seemed lovely so either she was having a bad day or I wasnt welcome. Its a shame because I was excited to visit and love the jewelry but I dont think Ill be going here again.",Boston,0.0,2024-11-10,2,"126 Newbury St, Boston, MA",MA,"

Negative Issue: Unwelcoming and rushed customer service experience
Positive Experience: None
Staff Behavior: The staff member who helped the customer was unwelcoming, gave short answers, seemed annoyed, and did not say anything at the end of the purchase.
Product/Service Feedback: The customer did not mention any specific feedback about the product or service.
Suggestions for Improvement: The customer suggests that the staff member could have been having a bad day, but also expresses disappointment and does not plan to return to the store."
"The ladies working at this location are amazing. It was hard to make a decision because I loved basically everything! The workers here were so patient and answered all of my many questions. I loved that you were able to take a close look at all of the pieces and even try things on.I have been so interested in trying Mejuri for a long time, but because it was all online I never bought anything. This store changed things for me and I will definitely buy again from Mejuri either in person or online.",Boston,0.0,2024-02-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: The reviewer had a positive experience at the location, specifically mentioning the helpfulness and patience of the staff. They also enjoyed being able to see and try on the products in person.
Staff Behavior: The staff were described as amazing, patient, and knowledgeable in answering the reviewer's questions.
Product/Service Feedback: The reviewer expressed interest in trying the product for a long time and appreciated the opportunity to see and try it in person.
Suggestions for Improvement: None"
"Came in for an EXCHANGE for a gift worth $100, or for store credit. Went through 3 people in order to find someone who could help me do the exchange (everyone was too busy and told me to wait, which was fine). What was not fine was, finally, when they were helping me, the person REFUNDED to the original payment instead of store credit for an exchange. He even asked me refund to original? with his finger hovering the button, and before I could say NO he pressed it. And then, he told he couldnt undo the refund and told me to ask the original gifter (who is long gone to another country, btw - also do you know how awkward that is??). I obviously did not bother my friend about it again, but this customer service is???",Boston,0.0,2024-12-10,1,"126 Newbury St, Boston, MA",MA,"

Negative Issue: Incorrect refund process for an exchange, leading to inconvenience and inability to complete the exchange.
Positive Experience: None mentioned.
Staff Behavior: Multiple staff members were too busy to assist, and the final staff member made a mistake in the refund process and was unable to correct it.
Product/Service Feedback: None mentioned.
Suggestions for Improvement: Ensure staff members are available and trained properly in exchange processes."
"Had a great experience shopping here on a weeknight when it was almost close. All of the salespeople were super helpful and accommodating, talking us through different pieces and helping us to find the right piece for our price point. I really appreciated their assistance and the selection of in store pieces is pretty wide-ranging. If they dont have something in store theyll order it for you easily and without fees or shipping costs.",Boston,0.0,2024-02-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: Helpful and accommodating salespeople, wide selection of in-store pieces.
Staff Behavior: The salespeople were super helpful and accommodating, talking the customer through different pieces and helping them find the right piece for their price point.
Product/Service Feedback: The selection of in-store pieces is wide-ranging and the store offers free and easy ordering for items not in stock.
Suggestions for Improvement: None"
It feels nice to go into a jewelry store and not feel like a total outsider. I wish I knew the girls name who helped me today. She was black with extension braids. She was amazing!,Boston,0.0,2024-08-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: Feeling welcomed and comfortable in the jewelry store.
Staff Behavior: The reviewer had a positive interaction with a specific staff member, described as helpful and amazing.
Product/Service Feedback: None
Suggestions for Improvement: None"
Had a great experience here! Went straight to the concierge desk in the back because I knew what I had in mind and Luisa helped me get my earrings in no time. Great customer service and liked the selection of merchandise. Planning to come back for piercings soon!,Boston,0.0,2024-07-10,5,"126 Newbury St, Boston, MA",MA,"

- Negative Issue: None
- Positive Experience: The customer had a great experience with the concierge desk and received helpful service from Luisa.
- Staff Behavior: Luisa was helpful and efficient in assisting the customer with their purchase.
- Product/Service Feedback: The customer was satisfied with the selection of merchandise and plans to return for future piercings.
- Suggestions for Improvement: None"
queen staff!!! they really were excited that i was excited and i feel excellent vibes in my new necklaces!,Boston,0.0,2024-11-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: The customer had an overall positive experience with the staff and was happy with their purchase of necklaces.
Staff Behavior: The staff were helpful and had a positive attitude, which contributed to the customer's excitement.
Product/Service Feedback: The customer was satisfied with the quality of the necklaces they purchased.
Suggestions for Improvement: None"
"I purchased the small croissant ring at the Newbury Street store. The stylists were extremely friendly, knowledgeable and helpful. All my questions were answered. I didnt have to wait to be helped and the checkout was easy. The jewelry is beautiful. Im looking forward to future purchases.",Boston,0.0,2024-02-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: Purchased a small croissant ring at the Newbury Street store
Staff Behavior: Staff was extremely friendly, knowledgeable, and helpful. All questions were answered without having to wait for help. Checkout was easy.
Product/Service Feedback: Jewelry is beautiful.
Suggestions for Improvement: None"
"Holly , Paola and The Team Are Very,~ Friendly & Respectful",Boston,0.0,2024-05-10,5,"126 Newbury St, Boston, MA",MA,"

None

Positive Experience: The reviewer had a positive experience with the staff, specifically mentioning Holly, Paola, and the rest of the team as being friendly and respectful.

Staff Behavior: The staff, including Holly and Paola, were described as being friendly and respectful by the reviewer.

None

Suggestions for Improvement: None"
"Just made a purchase here, Nadia was extremely helpful and was definitely a good part of the reason I decided on getting the bracelet I purchased.Some details of my visit include an extremely short visit 2 days before the day I purchased the bracelet. The store was packed but I still definitely got the help I required, not to mention that she remembered the visit.Overall a great experience at Mejuri",Boston,0.0,2024-02-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: Helpful and remembered previous visit
Staff Behavior: Nadia was extremely helpful and remembered previous visit, despite store being busy.
Product/Service Feedback: Satisfied with the purchase of a bracelet.
Suggestions for Improvement: None."
"I was SO excited to hear Mejuri was opening a store on Newbury. Such a clean and fresh looking store. I had my eye on a pair of earrings (unfortunately not carried in store, but was able to try on other options to get a size reference) and Simone helped me lock in my purchase. Ive had my eye on so many quality pieces and it was super cool to see them all in person. Will definitely be back for my next piece!!",Boston,0.0,2023-02-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: The reviewer was excited about the opening of a Mejuri store on Newbury and praised the store's appearance and selection of quality pieces. They also had a positive experience with the staff member Simone who helped them make a purchase.
Staff Behavior: Simone was described as helpful and knowledgeable, providing the reviewer with a size reference for a desired item and assisting with their purchase.
Product/Service Feedback: The reviewer appreciated being able to see the products in person and expressed interest in returning for future purchases.
Suggestions for Improvement: None."
The ladies working here were super helpful and very accommodating! I was really excited to have Mejuri somewhere close and the store experience definitely didnt disappoint! Its definitely a great experience being able to try on the jewelry before buying :),Boston,0.0,2024-02-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: Helpful and accommodating staff, exciting store experience, ability to try on jewelry before purchasing.
Staff Behavior: The staff were helpful and accommodating.
Product/Service Feedback: None
Suggestions for Improvement: None"
"service was so bad, some of the staff members (including the manager at the time) were so blatantly unhelpful and seemed to have zero knowledge regarding products/services. staff member had to get manager to advise me how to use klarna (which they promote in the store), and manager said ""ive never had a credit card so idk how klarna works"" as her form of assistance. staff members were so monotone and seemed like they didnt want to be there, except for two. i have worked MANY customer service jobs so i didnt want to be a big stickler, but this was just unacceptable. made my friend and i super uncomfortable and peeved, would never come back here again.",Boston,1.0,2024-02-10,1,"126 Newbury St, Boston, MA",MA,"

Negative Issue: Poor service and unhelpful staff, particularly the manager's lack of knowledge about promoted product Klarna.
Staff Behavior: Staff members were unhelpful, had zero knowledge about products/services, and seemed disinterested. Manager's lack of knowledge about promoted product was a major issue.
Product/Service Feedback: None
Suggestions for Improvement: Staff should be trained on products/services and exhibit a more positive and engaged attitude towards customers. Manager should also be knowledgeable about promoted products."
They were so lovely and helpful when I needed to make an exchange,Boston,0.0,2024-09-10,5,"126 Newbury St, Boston, MA",MA,".

Negative Issue: None 
Positive Experience: The customer had a positive experience with the staff when needing to make an exchange. 
Staff Behavior: The staff was described as ""lovely"" and ""helpful"". 
Product/Service Feedback: None 
Suggestions for Improvement: None"
"WARNING:Make sure that they are selling you the correct item!I had a terrible experience at this Newbury St location in Boston. I was looking for a specific item and one of the sales associates tried to sell me something completely different. Thankfully, another associate pointed out that it was the incorrect item. However, when the mistake was pointed out, the first associate shrugged and said eh, its close enough. I was so shocked by the lack of care and customer service, especially considering the high prices of your products.",Boston,2.0,2023-02-10,1,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: None
Staff Behavior: One sales associate tried to sell the customer a different item and showed a lack of care and customer service when the mistake was pointed out.
Product/Service Feedback: None
Suggestions for Improvement: Ensure that sales associates are knowledgeable and attentive to customer needs, and that correct items are being sold to customers."
"I just visited Mejuri and had the worst possible experience. I am a frequent shopper of Van Cleese Arpels and Cartier. I was wearing this when I walked into the shop looking at rings. The woman working there dismissed me as soon as I walked in and said out loud "" use hand sanitizer before and after!!!"". I had not even picked up a piece of jewelry. I asked her to make sure what she knew she was saying because I was so shocked. Then she said it again. I am a VIC at Louis Vuitton and literally was wearing 40k in Cartier. To be treated like trash is beyond me. This place deserves to go down in flames. I get fliers all the time at my high rise apartment asking to visit. This place is trashy just like their associates. You should skip it!",Boston,0.0,2024-02-10,1,"126 Newbury St, Boston, MA",MA,"

Negative Issue: Poor customer service and dismissive behavior from staff.
Positive Experience: None.
Staff Behavior: The staff at Mejuri were dismissive and made derogatory comments towards the customer.
Product/Service Feedback: None.
Suggestions for Improvement: Mejuri should improve their customer service training and address any discriminatory behavior from their staff. Additionally, they should ensure that their staff are knowledgeable and respectful towards all customers, regardless of their appearance or the brands they are affiliated with."
Had an amazing experience shopping at this location. Chris the sales associate was super knowledgeable and made the experience super seamless. Thanks Chris!,Boston,0.0,2024-06-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: Had an amazing shopping experience
Staff Behavior: Chris, the sales associate, was super knowledgeable and made the experience seamless
Product/Service Feedback: None
Suggestions for Improvement: None"
Cant say enough good things about this store and this brand. I love Mejuri. The product is such high quality and so are the team members.,Boston,0.0,2024-02-10,5,"126 Newbury St, Boston, MA",MA,"

Negative Issue: None
Positive Experience: Customer has had a positive overall experience with the store and brand, specifically mentioning the high quality of the product.
Staff Behavior: The staff members have been helpful and knowledgeable.
Product/Service Feedback: The customer is satisfied with the high quality of the product.
Suggestions for Improvement: None"
The Newbury St store in Boston  is conveniently located near the Copley T stop. The staff is very friendly and there is a great selection on all the Mejuri products. I highly recommend that you visit this store.,Boston,0.0,2024-02-10,5,"126 Newbury St, Boston, MA",MA,"

None
Positive Experience: Convenient location near public transportation, friendly staff, great selection of products.
Staff Behavior: Staff is very friendly.
Product/Service Feedback: Great selection of Mejuri products.
Suggestions for Improvement: None"
